rv0146	24.19	212	240	0.7756
rv0147	37.35	1	96	0.8682
rv0148	29.72	18	75	0.6836
rv0149	24.84	143	162	0.722
rv0150c	62.11	53	78	0.7973
rv0151c	28.23	467	500	0.8798
rv0152c	36.57	476	522	0.8472
rv0154c	28.29	71	102	0.6138
rv0155	45.63	263	307	0.7253
rv0156	24.55	94	110	0.9315
rv0157	36.84	218	273	0.8508
rv0157a	50.00	31	42	0.8739
rv0158	25.23	1	15	0.8562
rv0159c	38.46	7	59	0.7821
rv0160c	28.88	110	156	0.893
rv0161	26.06	403	432	0.7105
rv0162c	31.85	196	219	0.8656
rv0163	11.92	1	10	0.8094
rv0164	39.13	6	38	0.6496
rv0166	33.75	161	218	0.7985
rv0175	48.36	1	56	0.8237
rv0176	24.84	305	322	0.7646
rv0177	18.48	1	20	0.8082
rv0178	52.05	1	81	0.8553
rv0179c	21.14	176	201	0.78
rv0180c	30.97	169	208	0.7942
rv0181c	39.34	83	109	0.8303
rv0183	20.79	199	215	0.6718
rv0184	58.63	191	249	0.8743
rv0185	17.75	75	87	0.7409
rv0186	37.63	331	400	0.7866
rv0186a	9.43	51	53	0.8533
rv0187	25.00	89	105	0.6464
rv0188	9.79	4	10	0.5564
rv0189c	31.48	208	259	0.7432
rv0190	59.38	1	31	0.7171
rv0191	25.18	136	165	0.8001
rv0192	41.53	45	125	0.9512
rv0192a	74.00	31	98	0.9642
rv0193c	35.28	64	105	0.7552
rv0194	18.26	429	456	0.6849
rv0195	17.54	124	154	0.7398
rv0196	35.05	61	77	0.6016
rv0197	21.78	588	620	0.7918
rv0199	29.22	1	38	0.9122
rv0200	36.24	155	210	0.8083
rv0201c	44.31	52	77	0.7324
rv0202c	31.26	272	321	0.6877
rv0203	51.47	25	80	0.8013
rv0204c	33.25	286	329	0.756
rv0205	16.08	194	208	0.5982
rv0206c	31.67	729	944	0.9138
rv0207c	25.62	1	31	0.715
rv0208c	47.15	1	45	0.905
rv0209	32.41	35	72	0.7718
rv0210	47.36	280	325	0.7298
rv0212c	17.65	174	191	0.7601
rv0213c	8.47	143	152	0.522
rv0214	21.04	173	213	0.8368
rv0215c	29.69	104	146	0.8362
rv0216	17.51	114	136	0.8325
rv0217c	31.79	42	66	0.673
rv0218	10.86	229	248	0.6508
rv0219	23.63	79	100	0.8208
rv0220	26.05	119	150	0.8237
rv0221	26.01	375	403	0.6781
rv0222	47.71	146	188	0.6713
rv0223c	34.29	313	357	0.78
rv0224c	14.17	83	97	0.7183
rv0225	22.66	179	207	0.8386
rv0226c	21.18	289	313	0.7097
rv0227c	37.77	365	421	0.8611
rv0228	19.41	1	21	0.8515
rv0229c	56.64	59	134	0.8161
rv0230c	15.64	41	56	0.6732
rv0231	16.55	118	134	0.62
rv0232	18.78	183	199	0.7314
rv0233	31.21	288	314	0.6564
rv0234c	27.59	251	295	0.7283
rv0235c	16.60	448	482	0.8983
rv0236c	37.29	687	742	0.8203
rv0236a	40.35	35	57	0.8341
rv0237	45.88	113	170	0.7094
rv0238	40.20	127	176	0.6536
rv0241c	28.93	1	52	0.6974
rv0242c	35.46	329	381	0.8136
rv0243	34.32	165	189	0.78
rv0244c	14.40	43	67	0.7182
rv0245	8.64	158	162	0.8471
rv0246	8.03	421	436	0.8842
rv0247c	29.44	18	37	0.679
rv0248c	28.48	446	482	0.7485
rv0249c	8.06	133	145	0.6562
rv0250c	46.39	54	74	0.7579
rv0251c	44.65	48	81	0.6002
rv0252	21.10	395	434	0.8672
rv0253	21.19	101	115	0.6956
rv0254c	26.44	40	54	0.7747
rv0255c	19.43	348	369	0.7306
rv0256c	48.38	352	422	0.9279
rv0257	39.52	18	57	0.8417
rv0258c	23.84	117	137	0.6899
rv0259c	19.03	166	178	0.7634
rv0260c	40.16	94	141	0.7372
rv0261c	12.37	162	176	0.7383
rv0262c	23.76	107	147	0.7892
rv0263c	44.00	129	177	0.7828
rv0264c	23.33	145	167	0.6627
rv0265c	26.06	266	285	0.7361
rv0266c	30.02	1141	1209	0.7927
rv0267	14.04	71	92	0.8043
rv0268c	76.33	54	97	0.8769
rv0269c	21.91	302	337	0.6977
rv0270	42.32	177	247	0.878
rv0271c	21.07	13	49	0.7276
rv0272c	30.24	114	161	0.8838
rv0273c	18.45	1	19	0.6384
rv0274	30.05	112	138	0.75
rv0275c	28.22	205	241	0.9446
rv0276	46.41	11	85	0.7506
rv0278c	62.59	117	202	0.911
rv0279c	58.54	367	452	0.9181
rv0280	55.22	317	388	0.9468
rv0281	23.84	209	243	0.76
rv0282	44.22	308	367	0.7524
rv0283	41.82	332	368	0.7312
rv0284	30.60	1041	1094	0.7634
rv0285	83.33	2	51	0.7222
rv0286	50.68	300	360	0.9361
rv0287	21.65	78	88	0.6265
rv0288	48.96	69	95	0.6807
rv0289	17.97	184	207	0.6191
rv0290	23.73	18	63	0.8108
rv0291	44.03	21	73	0.9046
rv0292	25.68	61	80	0.8844
rv0293c	30.00	1	39	0.7385
rv0294	20.69	58	85	0.7164
rv0295c	25.47	253	267	0.7661
rv0296c	26.88	439	465	0.7334
rv0297	75.63	229	427	0.9758
rv0302	26.67	1	31	0.8126
rv0303	29.47	138	174	0.6532
rv0304c	14.34	1314	1350	0.8361
rv0305c	22.85	473	515	0.7668
rv0306	29.15	75	94	0.7048
rv0307c	9.38	92	106	0.681
rv0308	15.97	218	238	0.8672
rv0309	30.73	70	117	0.7623
rv0310c	12.88	154	163	0.7908
rv0311	28.61	368	390	0.7441
rv0312	51.29	459	578	0.9605
rv0313	31.25	88	108	0.7604
rv0314c	55.91	11	68	0.8393
rv0315	22.79	28	53	0.8775
rv0316	46.57	26	50	0.774
rv0317c	33.20	132	153	0.868
rv0318c	18.18	178	206	0.7549
rv0319	54.05	181	222	0.8074
rv0320	13.18	4	13	0.6739
rv0321	31.05	155	183	0.8616
rv0322	14.45	414	440	0.8107
rv0323c	24.66	129	149	0.7123
rv0324	58.85	38	73	0.7079
rv0325	39.19	35	53	0.5856
rv0326	25.83	16	33	0.6599
rv0327c	21.38	1	17	0.7654
rv0328	32.50	140	157	0.7371
rv0329c	18.75	41	55	0.6524
rv0330c	27.64	65	93	0.7867
rv0331	24.48	49	75	0.7514
rv0332	38.70	143	187	0.6925
rv0333	24.19	109	124	0.7186
rv0334	13.89	149	158	0.5904
rv0335c	69.01	15	85	0.8502
rv0336	39.76	436	475	0.8377
rv0337c	9.32	184	197	0.576
rv0338c	31.29	732	882	0.9707
rv0339c	33.17	731	774	0.8545
rv0340	57.54	98	152	0.8122
rv0341	70.15	178	356	0.8735
rv0342	47.19	466	497	0.7666
rv0343	23.73	428	457	0.7013
rv0344c	34.95	26	82	0.9326
rv0345	27.94	112	136	0.8627
rv0346c	15.61	1	15	0.7137
rv0347	48.48	75	139	0.7543
rv0349	33.33	187	219	0.8327
rv0350	48.80	576	625	0.9008
rv0351	74.04	2	59	0.7961
rv0352	59.49	21	76	0.7164
rv0354c	11.35	27	40	0.6955
rv0355c	19.45	2086	2157	0.8734
rv0356c	30.84	57	99	0.7834
rv0357c	29.17	231	261	0.8559
rv0358	51.16	67	106	0.8443
rv0359	10.04	187	200	0.6734
rv0360c	43.45	3	50	0.8369
rv0361	43.64	1	57	0.874
rv0362	31.96	247	276	0.8327
rv0363c	13.95	160	176	0.6741
rv0364	20.26	206	227	0.8406
rv0365c	23.94	66	85	0.8397
rv0366c	20.81	117	137	0.6862
rv0367c	55.04	62	93	0.6931
rv0368c	38.46	88	122	0.7873
rv0369c	43.27	105	138	0.8525
rv0370c	31.54	137	167	0.6686
rv0371c	19.29	15	26	0.6216
rv0372c	34.66	225	251	0.7624
rv0373c	25.28	725	763	0.7797
rv0374c	19.50	70	84	0.7021
rv0375c	32.87	208	240	0.758
rv0376c	38.95	14	66	0.8221
